region_key,region_label,button,year,layer,layer_name,depth_min_m,depth_max_m,o2_value_umol_kg,o2_baseline_2004_umol_kg,o2_change_from_2004_umol_kg,o2_change_from_2004_percent,color_mode,blue_intensity_percent,led_red,led_green,led_blue,rgb_tuple
eastern_tropical_atlantic,Eastern Tropical Atlantic,1,2004,2,250-400m,250,400,84.32823944091797,84.32823944091797,0.0,0.0,normal,23.3,0,0,59,"(0, 0, 59)"
eastern_tropical_atlantic,Eastern Tropical Atlantic,1,2004,3,400-600m,400,600,92.44347381591797,92.44347381591797,0.0,0.0,normal,35.4,0,0,90,"(0, 0, 90)"
eastern_tropical_atlantic,Eastern Tropical Atlantic,1,2004,4,600-750m,600,750,118.1111831665039,118.1111831665039,0.0,0.0,normal,73.8,0,0,188,"(0, 0, 188)"
eastern_tropical_atlantic,Eastern Tropical Atlantic,1,2004,5,750-900m,750,900,134.5455780029297,134.5455780029297,0.0,0.0,normal,98.4,0,0,251,"(0, 0, 251)"
eastern_tropical_atlantic,Eastern Tropical Atlantic,2,2009,1,100-250m,100,250,106.52910614013672,107.46971893310547,-0.94061279296875,-0.8752351846702366,normal,56.5,0,0,144,"(0, 0, 144)"
eastern_tropical_atlantic,Eastern Tropical Atlantic,2,2009,2,250-400m,250,400,84.2823257446289,84.32823944091797,-0.0459136962890625,-0.054446406794998424,normal,23.2,0,0,59,"(0, 0, 59)"
eastern_tropical_atlantic,Eastern Tropical Atlantic,2,2009,3,400-600m,400,600,93.40364074707031,92.44347381591797,0.9601669311523438,1.0386530184535443,normal,36.9,0,0,94,"(0, 0, 94)"
eastern_tropical_atlantic,Eastern Tropical Atlantic,2,2009,4,600-750m,600,750,119.41090393066406,118.1111831665039,1.2997207641601562,1.1004214243861326,normal,75.8,0,0,193,"(0, 0, 193)"
eastern_tropical_atlantic,Eastern Tropical Atlantic,2,2009,5,750-900m,750,900,135.5968017578125,134.5455780029297,1.0512237548828125,0.7813142360278257,normal,100.0,0,0,255,"(0, 0, 255)"
eastern_tropical_atlantic,Eastern Tropical Atlantic,3,2014,1,100-250m,100,250,106.92625427246094,107.46971893310547,-0.5434646606445312,-0.5056909667576324,normal,57.1,0,0,146,"(0, 0, 146)"
eastern_tropical_atlantic,Eastern Tropical Atlantic,3,2014,2,250-400m,250,400,83.92298889160156,84.32823944091797,-0.40525054931640625,-0.48056327512959973,normal,22.7,0,0,58,"(0, 0, 58)"
eastern_tropical_atlantic,Eastern Tropical Atlantic,3,2014,3,400-600m,400,600,92.29295349121094,92.44347381591797,-0.15052032470703125,-0.16282417621687528,normal,35.2,0,0,90,"(0, 0, 90)"
eastern_tropical_atlantic,Eastern Tropical Atlantic,3,2014,4,600-750m,600,750,118.11622619628906,118.1111831665039,0.00504302978515625,0.004269730985631548,normal,73.9,0,0,188,"(0, 0, 188)"
eastern_tropical_atlantic,Eastern Tropical Atlantic,3,2014,5,750-900m,750,900,134.22979736328125,134.5455780029297,-0.3157806396484375,-0.23470161140603332,normal,98.0,0,0,250,"(0, 0, 250)"
eastern_tropical_atlantic,Eastern Tropical Atlantic,4,2019,1,100-250m,100,250,106.5213394165039,107.46971893310547,-0.9483795166015625,-0.882462079566693,normal,56.5,0,0,144,"(0, 0, 144)"
eastern_tropical_atlantic,Eastern Tropical Atlantic,4,2019,2,250-400m,250,400,82.92547607421875,84.32823944091797,-1.4027633666992188,-1.663456246684745,normal,21.2,0,0,54,"(0, 0, 54)"
